time,value
0,0.4581442
0.033334,0.1879139
0.066668,0.1338291
0.100002,0.23830128
0.133336,0.34973332
0.16667,0.33960244
0.200004,0.28561783
0.233338,0.6803217
0.266672,0.2098856
0.300006,0.022058487
0.33334,0.14076231
0.366674,0.4213457
0.400008,0.27556893
0.433342,0.1586933
0.466676,0.18707943
0.50001,0.19227313
0.533344,0.18005371
0.566678,0.22069262
0.600012,0.33773708
0.633346,0.4464264
0.66668,0.28241917
0.700014,0.07654762
0.733348,0.16311836
0.766682,0.19423674
0.800016,0.5023823
0.83335,0.3805914
0.866684,0.31701946
0.900018,0.31579876
0.933352,0.6375417
0.966686,0.4429741
1.00002,-0.19489859
1.033354,-0.13772868
1.066688,0.28425312
1.100022,0.64967346
1.133356,0.37972352
1.16669,0.15772913
1.200024,0.14987563
1.233358,0.19251919
1.266692,0.19111823
1.300026,0.34997082
1.33336,0.3805637
1.366694,0.17857838
1.400028,0.2347412
1.433362,0.19890118
1.466696,0.1683111
1.50003,0.17026043
1.533364,0.24734019
1.566698,0.3822069
1.600032,0.33590603
1.633366,0.45147514
1.6667,0.620615
1.700034,0.35922432
1.733368,0.059853554
1.766702,0.115887634
1.800036,0.21411324
1.83337,0.28247643
1.866704,0.31349277
1.900038,0.23386668
1.933372,0.19018458
1.966706,0.22807121
2.00004,0.2267332
2.033374,0.21474265
2.066708,0.20044897
2.100042,0.18654919
2.133376,0.22935198
2.16671,0.28158188
2.200044,0.28034306
2.233378,0.28486443
2.266712,0.28640938
2.300046,0.30482578
2.33338,0.30607602
2.366714,0.29808807
2.400048,0.3368521
2.433382,0.26556015
2.466716,0.1660986
2.50005,0.2928133
2.533384,0.3141241
2.566718,0.39374253
2.600052,0.28204727
2.633386,0.2255249
2.66672,0.23367403
2.700054,0.2365732
2.733388,0.23680972
2.766722,0.26430035
2.800056,0.25015926
2.83339,0.20026684
2.866724,0.1772747
2.900058,0.223114
2.933392,0.20105742
2.966726,0.20878981
3.00006,0.23430823
3.033394,0.26067734
3.066728,0.2808781
3.100062,0.22933196
3.133396,0.20458125
3.16673,0.2756748
3.200064,0.2600193
3.233398,0.291831
3.266732,0.267951
3.300066,0.25674435
3.3334,0.24980448
3.366734,0.27017784
3.400068,0.30010888
3.433402,0.24585246
3.466736,0.2888403
3.50007,0.30166242
3.533404,0.25233364
3.566738,0.23382185
3.600072,0.21180153
3.633406,0.22018145
3.66674,0.24760817
3.700074,0.24829195
3.733408,0.22421932
3.766742,0.3130207
3.800076,0.21018505
3.83341,0.24142075
3.866744,0.27136806
3.900078,0.2951126
3.933412,0.31128883
3.966746,0.35934636
4.00008,0.37376213
4.033414,0.21465014
4.066748,0.05171776
4.100082,-0.25928402
4.133416,-0.31561562
4.16675,-0.6939087
4.200084,-0.95204544
4.233418,-1.062336
4.266752,-1.2318496
4.300086,-1.7922524
4.33342,-1.5813732
4.366754,-1.049838
4.400088,-0.352067
4.433422,-0.49142647
4.466756,-0.7941799
4.50009,-0.055117603
4.533424,-2.0530071
4.566758,-1.5049686
4.600092,-0.63266844
4.633426,-1.2802601
4.66676,-0.24442576
4.700094,-0.37779805
4.733428,-0.58204556
4.766762,-0.14326954
4.800096,-0.010987281
4.83343,0.16254233
4.866764,0.20378494
4.900098,0.7971535
4.933432,0.77922726
4.966766,1.3457546
5.0001,1.06106
5.033434,0.22095966
5.066768,1.580411
5.100102,1.8084182
5.133436,1.0222406
5.16677,0.97648716
5.200104,0.7684746
5.350107,0.62192434
5.383441,4.9310913
5.416775,1.3261881
5.450109,1.0095329
5.483443,0.16119862
5.516777,0.563509
5.550111,1.1859035
5.583445,2.5669537
5.616779,-0.4602022
5.650113,1.4393148
5.683447,1.3720303
5.716781,-0.6706886
5.750115,-2.7185988
5.783449,-3.7095287
5.816783,1.1152371
5.850117,2.3710861
5.883451,0.19619274
5.916785,3.2667885
5.950119,3.6612825
5.983453,-0.79708004
6.016787,0.056620594
6.050121,-0.18041039
6.083455,1.4010276
6.116789,1.292899
6.150123,1.4687557
6.183457,0.6580047
6.216791,0.004812241
6.250125,0.60920715
6.283459,-0.422595
6.316793,0.54078007
6.350127,1.32759
6.383461,0.5980158
6.416795,2.3005512
6.450129,2.0329664
6.483463,1.2779369
6.516797,1.1182575
6.550131,1.5243664
6.583465,2.0123224
6.616799,1.5451851
6.650133,1.6026726
6.683467,1.9109172
6.716801,1.1040525
6.750135,1.0870084
6.783469,0.9233904
6.816803,-0.16130352
6.850137,-0.17851353
6.883471,-0.24653912
6.916805,-0.39743423
6.950139,-0.71252346
6.983473,-0.4103851
7.016807,-0.77678394
7.050141,-0.5845823
7.083475,-0.8134537
7.116809,-0.8037042
7.150143,-0.94165987
7.183477,-0.9566021
7.216811,-1.024993
7.250145,-0.9179582
7.283479,-0.64847463
7.316813,-1.1454431
7.350147,-0.8328685
7.383481,-0.9792223
7.416815,-1.0668354
7.450149,-0.46818826
7.483483,-0.2141285
7.516817,-1.0655336
7.550151,-1.091589
7.583485,-0.2955217
7.616819,-0.5675049
7.650153,-0.34170055
7.683487,0.29849625
7.716821,0.017454145
7.750155,-0.39777184
7.783489,-0.19576167
7.816823,-0.2829523
7.850157,-0.80758095
7.883491,-1.4130535
7.916825,-1.13375
7.950159,-1.3000135
7.983493,-1.2103939
8.016827,-0.8580713
8.050161,-0.66551685
8.083495,-0.03221607
8.116829,-0.22940826
8.150163,0.27476785
8.183497,0.521472
8.216831,0.91760635
8.250165,0.27278328
8.283499,0.31521034
8.316833,0.01533699
8.350167,0.23532009
8.383501,0.53698534
8.416835,-0.23686028
8.450169,0.030083654
8.483503,-0.08752155
8.516837,0.38787076
8.550171,0.3926735
8.583505,0.570467
8.616839,0.07425022
8.650173,0.3135605
8.683507,0.5364361
8.716841,0.32137394
8.750175,0.23991966
8.783509,0.08685779
8.816843,0.16891383
8.850177,0.37142754
8.883511,0.91597074
8.916845,1.0909958
8.950179,1.3037567
8.983513,1.3315268
9.016847,1.8142537
9.050181,1.1756849
9.083515,1.6673793
9.116849,1.468584
9.150183,1.594451
9.183517,1.9829111
9.216851,1.992339
9.250185,2.3190184
9.283519,2.7228231
9.316853,2.3052518
9.350187,2.3459356
9.383521,-0.3986292
9.416855,2.22083
9.450189,1.2723455
9.483523,0.579196
9.516857,0.17531681
9.550191,0.2829361
9.583525,0.5774774
9.616859,0.49141598
9.650193,0.4793377
9.683527,0.4971361
9.716861,0.14529419
9.750195,0.28709126
9.783529,0.16491127
9.816863,-0.20826435
9.850197,-0.29339883
9.883531,-0.5441322
9.916865,-0.6819372
9.950199,-0.5512275
9.983533,-0.8125991
10.016867,-0.73922443
10.050201,-0.88122267
10.083535,-1.1156969
10.116869,-1.2322844
10.150203,-1.309722
10.183537,-1.115674
10.216871,-0.86769295
10.250205,-0.49168873
10.283539,-0.5234451
10.316873,0.000769615
10.350207,0.066480644
10.383541,-0.06339645
10.416875,-0.82902807
10.450209,-0.9911193
10.483543,-1.4223747
10.516877,-0.94509405
10.550211,-1.0930117
10.583545,-1.5109949
10.616879,-0.4124975
10.650213,-0.74986744
10.683547,-0.9116344
10.716881,-0.32934093
10.750215,0.093288414
10.783549,0.48278236
10.816883,0.74849224
10.850217,0.72519296
10.883551,0.59728616
10.916885,0.823658
10.950219,0.7839842
10.983553,0.39377305
11.016887,0.3732996
11.050221,0.059580803
11.083555,0.5227213
11.116889,0.614317
11.150223,0.39732644
11.183557,0.14235115
11.216891,0.5326319
11.250225,-0.0909605
11.283559,0.3234787
11.316893,0.5705194
11.350227,0.58030415
11.383561,0.21262549
11.416895,0.14572525
11.450229,-0.001484871
11.483563,0.63784504
11.516897,0.5668764
11.550231,0.7676534
11.583565,1.3191385
11.616899,1.3292389
11.650233,1.7975806
11.683567,1.5162525
11.716901,1.6994494
11.750235,1.3625335
11.783569,0.6133184
11.816903,1.5612803
11.850237,1.8102903
11.883571,2.3129663
11.916905,2.4746854
11.950239,2.2840433
11.983573,2.219854
12.016907,2.1832352
12.050241,1.6664314
12.083575,1.4221306
12.116909,0.7136164
12.150243,0.48974797
12.183577,0.1218338
12.216911,0.39188668
12.250245,0.5170059
12.283579,0.630456
12.316913,-0.1157875
12.350247,-0.118890755
12.383581,-0.49332333
12.416915,-0.44824123
12.450249,-0.39358044
12.483583,-0.44746682
12.516917,-0.5013504
12.550251,-0.4416847
12.583585,-0.39431858
12.616919,-0.45015046
12.650253,-0.36779115
12.683587,-0.56178474
12.716921,-0.7704811
12.750255,-0.7367048
12.783589,-0.5747699
12.816923,-0.85282326
12.850257,-0.86438847
12.883591,-0.89178175
12.916925,-1.0416459
12.950259,-0.5487919
12.983593,-0.41768837
13.016927,0.14389133
13.050261,-0.19755457
13.083595,0.030186653
13.116929,-0.092787735
13.150263,-0.73115915
13.183597,-0.9128856
13.216931,-1.0192795
13.250265,-1.0805368
13.283599,-0.99499416
13.316933,-0.6219044
13.350267,-0.49211785
13.383601,-0.45380974
13.416935,-0.20524216
13.450269,-0.106300354
13.483603,-0.13034916
13.516937,0.4767265
13.550271,0.46359155
13.583605,0.55837345
13.616939,0.64795876
13.650273,0.1473875
13.683607,0.8599052
13.716941,0.41840076
13.750275,0.11467075
13.783609,0.2909994
13.816943,0.17485522
13.850277,0.14187336
13.883611,0.3995943
13.916945,-0.041381832
13.950279,0.14968108
13.983613,0.2623777
14.016947,0.534192
14.050281,1.1574812
14.083615,-0.53044796
14.116949,-0.029040337
14.150283,0.24522112
14.183617,0.34054947
14.216951,0.52212524
14.250285,0.64655685
14.283619,0.42423534
14.316953,0.62370396
14.350287,0.8293247
14.383621,1.4556789
14.416955,1.9095744
14.450289,1.9977168
14.483623,2.1503286
14.516957,2.0666924
14.550291,1.7593479
14.583625,2.6948204
14.616959,2.1723797
14.650293,2.7503147
14.683627,2.2127073
14.716961,2.0623264
14.750295,1.7330656
14.783629,1.1351776
14.816963,1.0884867
14.850297,-0.094301224
14.883631,0.19389534
14.916965,0.055723187
14.950299,0.27936938
14.983633,-0.005834579
15.016967,-0.02279377
15.050301,-0.04918289
15.083635,-0.3028555
15.116969,-0.182127
15.150303,-0.18632126
15.183637,-0.1746311
15.216971,-0.002230644
15.250305,-0.13217354
15.283639,-0.32582185
15.316973,-0.34491536
15.350307,-0.8064746
15.383641,-0.82710165
15.416975,-0.7821626
15.450309,-0.5778065
15.483643,-0.76904196
15.516977,-0.71182054
15.550311,-0.92386055
15.583645,-0.9838791
15.616979,-0.6882429
15.650313,-0.51174355
15.683647,-0.6464453
15.716981,-0.29686737
15.750315,-0.12820435
15.783649,-0.59323883
15.816983,-0.8508129
15.850317,-1.3049097
15.883651,-1.4288645
15.916985,-1.0705261
15.950319,-1.0707636
15.983653,-0.7040996
16.016987,-0.37080383
16.050321,-0.30168247
16.083655,0.097779274
16.116989,0.5462064
16.150323,0.6231222
16.183657,0.25210285
16.216991,0.14831161
16.250325,0.31774616
16.283659,0.2997837
16.316993,0.17961693
16.350327,0.7946043
16.383661,0.5142584
16.416995,0.83018684
16.450329,0.7059698
16.483663,0.38063526
16.516997,0.43104836
16.550331,0.2730379
16.583665,0.0073843
16.667,0.27084827
16.700334,0.2518358
16.733668,0.2899313
16.767002,0.31770325
16.800336,0.44960785
16.83367,0.8001251
16.867004,1.0528212
16.900338,1.1774359
16.933672,1.2865828
16.967006,1.8063154
17.00034,1.9811296
17.033674,1.9902878
17.067008,2.2734938
17.100342,2.1414137
17.133676,3.243575
17.16701,2.6559753
17.200344,1.9018592
17.233678,2.105239
17.267012,-0.34113884
17.300346,-0.16482256
17.33368,0.7473812
17.367014,-0.35443398
17.400348,-0.518773
17.433682,-0.30618382
17.467016,-0.28554726
17.50035,-0.21486473
17.533684,0.32837102
17.567018,0.46517083
17.600352,0.35456657
17.633686,0.57349974
17.66702,0.4324226
17.700354,0.46048927
17.733688,0.4743452
17.767022,0.33907032
17.800356,0.018518448
17.83369,-0.16965961
17.867024,-0.32833195
17.900358,-0.486269
17.933692,-0.50268453
17.967026,-0.50494385
18.00036,-0.45077702
18.033694,-0.84205717
18.067028,-1.0338917
18.100362,-1.2455158
18.133696,-1.1319723
18.16703,-0.8083524
18.200364,-0.59758854
18.233698,0.072404854
18.267032,0.4118204
18.300366,0.6980066
18.3337,-0.042697906
18.367034,-0.4148321
18.400368,-0.4890842
18.433702,-0.6265306
18.467036,-0.80769825
18.50037,-1.1003035
18.533704,-1.0970278
18.567038,-1.0057611
18.600372,-0.79738516
18.633706,-0.9454002
18.66704,-0.59081554
18.700374,-0.5949115
18.733708,-0.048028942
18.767042,0.27039334
18.800376,0.81552887
18.83371,0.7317514
18.867044,0.7729263
18.900378,0.62291425
18.933712,0.07687473
18.967046,0.056053158
19.00038,0.34133625
19.033714,-0.26878548
19.067048,0.6966667
19.100382,0.36569786
19.133716,-0.016322136
19.16705,0.1903038
19.200384,0.40711975
19.233718,0.114769936
19.267052,0.34237862
19.300386,0.4845543
19.33372,0.6087074
19.367054,0.49600026
19.400388,0.50607866
19.433722,0.5495805
19.467056,0.722639
19.50039,0.8932476
19.533724,1.2387857
19.567058,1.2436209
19.600392,1.4383725
19.633726,1.8082342
19.66706,2.077507
19.700394,2.8167598
19.733728,2.625222
19.767062,2.7225294
19.800396,2.5117626
19.83373,2.4499445
19.867064,1.7579021
19.900398,1.1961432
19.933732,1.0864593
19.967066,0.5471057
20.0004,0.23025036
20.033734,0.20689486
20.067068,-0.14775467
20.100402,-0.46060944
20.133736,-0.0848465
20.16707,-0.019448278
20.200404,-0.010087013
20.233738,0.19006918
20.267072,0.16967297
20.300406,0.33252904
20.33374,0.08085346
20.367074,-0.02946186
20.400408,-0.19011593
20.433742,-0.075715065
20.467076,-0.18665217
20.50041,0.10240269
20.533744,-0.2907133
20.567078,-0.53232193
20.600412,-0.6071338
20.633746,-0.5141201
20.66708,-0.744545
20.700414,-0.8024435
20.733748,-0.46614075
20.767082,-0.77466583
20.800416,-0.98379415
20.83375,-1.0333233
20.867084,0.23997305
20.900418,-0.0755415
20.933752,-0.12710953
20.967086,-0.16654776
21.00042,-0.5786791
21.033754,-0.6783275
21.067088,-1.3569393
21.100422,-1.4394835
21.133756,-1.4138031
21.16709,-0.9117698
21.200424,-0.77120966
21.233758,-0.5351715
21.267092,-0.36133957
21.300426,-0.32540417
21.33376,0.2760458
21.367094,0.8919239
21.400428,0.8640651
21.433762,0.9577283
21.467096,0.57779026
21.50043,-0.16576195
21.533764,0.80548376
21.567098,0.46951008
21.600432,0.69960976
21.633766,1.5532408
21.6671,0.7442913
21.700434,0.3882942
21.733768,0.22386932
21.767102,0.10848617
21.800436,-0.21304226
21.83377,0.068953514
21.867104,-0.08343601
21.900438,-0.06607151
21.933772,0.22415543
21.967106,0.13938524
22.00044,0.9140577
22.033774,1.3412694
22.067108,1.9143934
22.100442,2.0128145
22.133776,1.9890393
22.16711,2.1755915
22.200444,2.6360762
22.233778,2.411665
22.267112,3.0941045
22.300446,2.6899621
22.33378,2.6214454
22.367114,2.0905495
22.400448,1.7035589
22.433782,1.0109997
22.467116,0.40396687
22.50045,0.3962183
22.533784,-0.060134888
22.567118,-0.08797455
22.600452,-0.02226448
22.633786,-0.14319228
22.66712,-0.04342842
22.700454,-0.142313
22.733788,0.034306526
22.767122,0.254776
22.800456,0.2896185
22.83379,-0.2628746
22.867124,-0.5397301
22.900458,-0.7644748
22.933792,-0.6991272
22.967126,-0.86683273
23.00046,-0.77426714
23.033794,-0.676361
23.067128,-0.3792982
23.100462,0.029322624
23.133796,-0.25720406
23.16713,-0.5615215
23.200464,-0.5461273
23.233798,-0.5105609
23.267132,-0.8373709
23.300466,-0.5439815
23.3338,-0.41577908
23.367134,0.026934624
23.400468,0.21854973
23.433802,-0.18747902
23.467136,0.065068245
23.50047,-0.8834457
23.533804,-0.86204815
23.567138,-1.5066279
23.600472,-1.5379342
23.633806,-1.107254
23.66714,-0.8645029
23.700474,-0.65958405
23.733808,-0.75493145
23.767142,-0.6367674
23.800476,-0.19006155
23.83381,0.2347412
23.867144,0.22954844
23.900478,0.5560798
23.933812,0.42460442
23.967146,0.32860756
24.00048,0.38018608
24.033814,0.30563927
24.067148,0.17454338
24.100482,0.36110207
24.133816,0.54978085
24.16715,0.21685791
24.200484,0.18322943
24.233818,0.12063407
24.267152,1.6789961
24.300486,2.43723
24.33382,0.02296829
24.367154,0.1318674
24.400488,0.6147375
24.433822,0.74642086
24.467156,0.9000034
24.50049,0.83173084
24.533824,0.95091057
24.567158,1.3797455
24.600492,1.6155443
24.633826,2.928957
24.66716,3.7388391
24.700494,1.5841408
24.733828,2.1132972
24.767162,2.5273457
24.800496,2.6322947
24.83383,2.6965816
24.867164,2.2797325
24.900498,1.7133522
24.933832,1.5598421
24.967166,0.98626417
25.0005,0.27543542
25.033834,0.1894846
25.067168,-0.19914627
25.100502,-0.47117996
25.133836,-0.5064888
25.16717,-0.70145124
25.200504,-0.4409103
25.233838,-0.3084507
25.267172,0.26594257
25.300506,0.07718372
25.33384,0.05536556
25.367174,-0.060963627
25.400508,-0.35836124
25.433842,-0.16754436
25.467176,-0.2911615
25.50051,-0.08908367
25.533844,0.08369923
25.567178,-0.42618656
25.600512,-0.42424393
25.633846,-0.6979971
25.66718,-0.6302719
25.700514,-1.0125332
25.733848,-1.1734514
25.767182,-1.1141415
25.800516,-0.7498321
25.83385,-0.392601
25.867184,-0.1857519
25.900518,-0.2624321
25.933852,-0.09994602
25.967186,-0.3610115
26.00052,-0.37142467
26.033854,-0.4376917
26.067188,-0.74347204
26.100522,-0.9309063
26.133856,-1.1016884
26.16719,-0.9436178
26.200524,-0.858077
26.233858,-0.7648286
26.267192,-0.78985214
26.300526,-0.28368375
26.33386,0.14063452
26.367194,0.5325403
26.400528,0.3801918
26.433862,0.6703224
26.467196,0.81874937
26.50053,0.47060776
26.533864,0.07925606
26.567198,0.1601963
26.600532,0.28224373
26.633866,0.26987553
26.6672,0.29903218
26.700534,0.26667213
26.733868,0.015228271
26.767202,-0.11146641
26.800536,0.006371498
26.83387,0.08350276
26.867204,0.15732194
26.900538,0.19739246
26.933872,0.5353966
26.967206,0.73485374
27.00054,0.5814009
27.033874,0.78954697
27.067208,0.76474375
27.100542,1.5854406
27.133876,1.7941207
27.16721,1.8200806
27.200544,2.084445
27.233878,1.8246735
27.267212,2.0482845
27.300546,2.7639406
27.33388,2.4341965
27.367214,2.886913
27.400548,2.5073822
27.433882,1.3962898
27.467216,1.1791371
27.50055,-0.30141163
27.533884,0.8030653
27.567218,0.908247
27.600552,0.45815182
27.633886,-0.036619186
27.66722,0.2816229
27.700554,-0.017324448
27.733888,0.30690387
27.767222,-0.4947929
27.800556,0.20240498
27.83389,-0.1415386
27.867224,0.20436668
27.900558,0.16063213
27.933892,0.00749588
27.967226,0.334897
28.00056,-0.033397675
28.033894,-0.11863327
28.067228,0.08019352
28.100562,-0.1597576
28.133896,0.01292038
28.16723,-0.105534546
28.200564,-0.30555248
28.233898,-0.5521784
28.267232,-0.74761194
28.300566,-0.5075655
28.3339,-0.6140442
28.367234,-0.832838
28.400568,-1.0162067
28.433902,-0.6013489
28.467236,-0.8455591
28.50057,-0.7978372
28.533904,-0.7845478
28.567238,-0.44809818
28.600572,-0.5470905
28.633906,-0.5729151
28.66724,-1.074234
28.700574,-1.5410929
28.733908,-1.8767381
28.767242,-1.475975
28.800576,-1.3576488
28.83391,-0.91734403
28.867244,-0.35018635
28.900578,-0.108988754
28.933912,0.19361685
28.967246,0.54469395
29.00058,0.39061067
29.033914,0.21990488
29.067248,-0.17187023
29.100582,-0.13541792
29.133916,-0.21387672
29.16725,-0.3145752
29.200584,-0.05552292
29.233918,-0.17874049
29.267252,-0.24640751
29.300586,0.039133072
29.33392,-0.08919334
29.367254,-0.06966019
29.400588,-0.089258194
29.433922,-0.13571644
29.467256,-0.002843857
29.50059,0.310277
29.533924,0.3752918
29.567258,0.61740685
29.600592,0.3004446
29.633926,0.533452
29.66726,1.1933764
29.700594,1.3398782
29.733928,1.7357931
29.767262,2.0070896
29.800596,1.9274244
29.83393,1.6498919
29.867264,1.6199149
29.900598,1.3849994
29.933932,1.4281797
29.967266,1.3251972
30.0006,1.2146004
30.033934,1.0744619
30.067268,0.23503399
30.100602,0.4179411
30.133936,0.70950794
30.16727,0.7335138
30.200604,5.932869
30.233938,-1.8537177
30.267272,0.25300598
30.300606,0.43970776
30.33394,1.9996719
30.367274,0.53941923
30.400608,-0.71143335
30.433942,4.3551397
30.467276,1.9720964
30.50061,-3.1516852
30.533944,2.0731077
30.567278,0.06333923
30.600612,-1.7942238
30.633946,0.08811092
30.66728,-0.509407
30.700614,-0.15746878
30.733948,2.1154861
30.767282,1.5912695
30.800616,0.98607534
30.83395,1.6995076
30.867284,2.5812385
30.900618,1.931506
30.933952,1.2732735
30.967286,1.871826
31.00062,1.389657
31.033954,0.36457443
31.067288,0.47827435
31.100622,1.2522154
31.133956,-0.32818604
31.16729,-1.3227805
31.200624,-0.4971628
31.233958,-0.7496729
31.267292,-1.9550905
31.300626,-2.009256
31.33396,-1.3223276
31.367294,-0.9682445
31.400628,-1.2682943
31.433962,-1.2054663
31.467296,-0.96017456
31.50063,-0.8959026
31.533964,-0.8227596
31.567298,-0.51800245
31.600632,-0.55023855
31.633966,-0.6054201
31.6673,-0.5450964
31.700634,-0.5466738
31.733968,-0.53880215
31.767302,-0.84652895
31.800636,-0.47245884
31.83397,-0.8546057
31.867304,-0.6836252
31.900638,-0.42104432
31.933972,-0.19288254
31.967306,-0.10709857
32.00064,0.43411824
32.033974,1.789257
32.067308,0.55812645
32.100642,0.29437447
32.133976,0.43953034
